Kanji,Meaning,Radicals
佩,"belt ornament","亻 (man) + 几 (table) + 巾 (turban)"
愤,"resent","忄 (heart) + 十 (ten) + 廾 (two hands) + 贝 (shell)"
扑,"pound","扌 (hand) + 卜 (divination)"
龄,"age","齿 (tooth) + 人 (man) + 一 (one) + 龴"
驱,"spur a horse on","马 (horse) + 匚 (open box) + 乂"
惜,"pity","忄 (heart) + 日 (sun)"
豪,"brave","亠 (lid) + 口 (mouth) + 豕 (pig)"
掩,"to cover (with the hand)","扌 (hand) + 大 (big) + 曰 (say) + 乚 (second)"
兼,"unite","兼 (unite)"
跃,"skip","足 (foot) + 丿 (slash) + 大 (big)"
尸,"corpse","尸 (corpse)"
肃,"pay respects","肀 + 儿 (legs) + 丷 (eight)"
帕,"turban","巾 (turban) + 白 (white)"
驶,"sail","马 (horse) + 口 (mouth) + 乂"
堡,"fort","亻 (man) + 口 (mouth) + 木 (tree) + 土 (earth)"
届,"numerary adjunct for time","尸 (corpse) + 曰 (say) + 丨 (line)"
欣,"happy","斤 (axe) + 欠 (lack)"
惠,"favor","厶 (private) + 心 (heart)"
册,"book","册 (book)"
储,"save money","亻 (man) + 讠 (speech) + 土 (earth) + 丿 (slash) + 日 (sun)"
飘,"whirlwind","覀 (west) + 示 (showing) + 风 (wind)"
桑,"mulberry tree","又 (again) + 木 (tree)"
闲,"fence","门 (gate) + 木 (tree)"
惨,"sad","忄 (heart) + 厶 (private) + 人 (man) + 彡 (bristle)"
洁,"clean","氵 (water) + 士 (scholar) + 口 (mouth)"
踪,"footprints","足 (foot) + 宀 (roof) + 示 (showing)"
勃,"suddenly","十 (ten) + 子 (child) + 力 (power)"
宾,"guest","宀 (roof) + 丘 (hill) + 八 (eight)"
频,"frequently","止 (stop) + 𣥂 + 页 (leaf)"
仇,"enemy","亻 (man) + 九 (nine)"
磨,"grind","麻 (hemp) + 石 (stone)"
递,"hand over","辶 (walk) + 丷 (eight) + 弓 (bow) + 丨 (line) + 丿 (slash)"
邪,"wrong","牙 (fang) + 阝 (mound)"
撞,"knock against","扌 (hand) + 立 (stand) + 里 (village)"
拟,"draft","扌 (hand) + 厶 (private) + 人 (man)"
滚,"turn","氵 (water) + 衣 (clothes) + 八 (eight) + 厶 (private)"
奏,"memorialize emperor","𡗗 + 一 (one) + 大 (big)"
巡,"patrol","辶 (walk) + 巛 (river)"
颜,"face","亠 (lid) + 八 (eight) + 厂 (cliff) + 彡 (bristle) + 页 (leaf)"
剂,"medicinal preparation","齐 (even) + 刂 (knife)"
绩,"spin","纟 (silk) + 贝 (shell)"
贡,"offer tribute","工 (work) + 贝 (shell)"
疯,"crazy","疒 (sickness) + 风 (wind)"
坡,"slope","土 (earth) + 皮 (skin)"
瞧,"glance at","目 (eye) + 隹 (short tailed bird) + 灬 (fire)"
截,"cut off","隹 (short tailed bird) + 戈 (halberd) + 十 (ten)"
燃,"burn","火 (fire) + 月 (moon) + 犬 (dog) + 灬 (fire)"
焦,"burned","隹 (short tailed bird) + 灬 (fire)"
殿,"hall","尸 (corpse) + 廿 + 廾 (two hands) + 殳 (weapon)"
伪,"false","亻 (man) + 力 (power) + 丷 (eight)"
柳,"willow tree","木 (tree) + 𠂎 + 卩 (seal)"
锁,"lock","钅 + 贝 (shell)"
逼,"compel","辶 (walk) + 一 (one) + 口 (mouth) + 田 (field)"
颇,"lean one side","皮 (skin) + 页 (leaf)"
昏,"dusk","氏 (clan) + 日 (sun)"
劝,"recommend","又 (again) + 力 (power)"
呈,"submit","口 (mouth) + 王 (king)"
搜,"search","扌 (hand) + 臼 (mortar) + 丨 (line) + 又 (again)"
勤,"industrious","堇 + 力 (power)"
戒,"warn","廾 (two hands) + 戈 (halberd)"
驾,"to drive","力 (power) + 口 (mouth) + 马 (horse)"
漂,"float","氵 (water) + 覀 (west) + 示 (showing)"
饮,"drink","饣 (eat) + 欠 (lack)"
曹,"ministry officials","一 (one) + 曲 (crooked) + 曰 (say)"
朵,"cluster of flowers","几 (table) + 木 (tree)"
仔,"small thing","亻 (man) + 子 (child)"
柔,"soft","矛 (spear) + 木 (tree)"
俩,"two","亻 (man) + 两 (two)"
孟,"first in series","子 (child) + 皿 (dish)"
腐,"rot","广 (dotted cliff) + 亻 (man) + 寸 (inch) + 肉 (meat)"
幼,"infant","幺 (short thread) + 力 (power)"
践,"trample","足 (foot) + 戈 (halberd)"
籍,"record","竹 (bamboo) + 耒 (plow) + 日 (sun)"
牧,"tend cattle","牜 (cow) + 攵 (rap)"
凉,"cool","冫 (ice) + 亠 (lid) + 口 (mouth) + 小 (small)"
牲,"sacrificial animal","牜 (cow) + 生 (life)"
佳,"good","亻 (man) + 土 (earth)"
娜,"elegant","女 (woman) + 冂 (down box) + 二 (two) + 阝 (mound)"
浓,"thick","氵 (water) + 农 (agriculture)"
芳,"fragrant","艹 (grass) + 方 (square)"
稿,"draft","禾 (grain) + 高 (tall)"
竹,"bamboo","竹 (bamboo)"
腹,"stomach","月 (moon) + 丿 (slash) + 一 (one)"
跌,"stumble","足 (foot) + 丿 (slash) + 一 (one) + 大 (big)"
逻,"patrol","辶 (walk) + 罒 (net) + 夕 (evening)"
垂,"let down","垂 (let down)"
遵,"obey","辶 (walk) + 丷 (eight) + 酉 (alcohol) + 寸 (inch)"
脉,"blood vessels","月 (moon) + 水 (water) + 丶 (dot)"
貌,"countenance","豸 (badger) + 白 (white) + 儿 (legs)"
柏,"cypress","木 (tree) + 白 (white)"
狱,"prison","犭 (dog) + 言 (speech) + 尤 (especially)"
猜,"guess","犭 (dog) + 冂 (down box) + 丄"
怜,"pity","忄 (heart) + 人 (man) + 一 (one) + 龴"
惑,"confuse","戈 (halberd) + 一 (one) + 口 (mouth) + 心 (heart)"
陶,"pottery","阝 (mound) + 勹 (wrap) + 缶 (jar)"
兽,"beast","八 (eight) + 田 (field) + 一 (one) + 口 (mouth)"
帐,"tent","巾 (turban) + 长 (long)"
饰,"decorate","饣 (eat) + 丿 (slash) + 一 (one) + 巾 (turban)"
贷,"lend","亻 (man) + 弋 (shoot) + 贝 (shell)"
昌,"light of sun","日 (sun) + 曰 (say)"
叙,"express","人 (man) + 一 (one) + 朩 + 又 (again)"
躺,"lie down","身 (body) + 小 (small) + 冂 (down box) + 囗 (enclosure)"
钢,"steel","钅 + 冂 (down box) + 乂"
沟,"ditch","氵 (water) + 勹 (wrap) + 厶 (private)"
寄,"send","宀 (roof) + 大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
扶,"support","扌 (hand) + 一 (one) + 大 (big)"
铺,"shop","钅 + 甫 (begin)"
邓,"surname","又 (again) + 阝 (mound)"
寿,"old age","丰 (abundant) + 寸 (inch)"
惧,"fear","忄 (heart) + 貝 (shell) + 一 (one)"
询,"inquire into","讠 (speech) + 勹 (wrap) + 日 (sun)"
汤,"hot water","氵 (water)"
盗,"rob","冫 (ice) + 欠 (lack) + 皿 (dish)"
肥,"fat","月 (moon) + 巴 (greatly desire)"
尝,"taste","小 (small) + 二 (two) + 厶 (private)"
匆,"hastily","勿 (must not) + 丶 (dot)"
辉,"brightness","一 (one) + 儿 (legs) + 冖 (over) + 车 (cart)"
奈,"but","大 (big) + 示 (showing)"
扣,"knock","扌 (hand) + 口 (mouth)"
廷,"court","廴 (long stride) + 丿 (slash) + 士 (scholar)"
澳,"inlet","氵 (water) + 宀 (roof) + 釆 (distinguish) + 大 (big)"
嘛,"final exclamatory particle","口 (mouth) + 麻 (hemp)"
董,"direct","艹 (grass) + 丿 (slash) + 十 (ten) + 里 (village)"
迁,"move","辶 (walk) + 丿 (slash) + 十 (ten)"
凝,"coagulate","冫 (ice) + 匕 (spoon) + 矢 (arrow) + 又 (again) + 疋 (bolt of cloth)"
慰,"comfort","尸 (corpse) + 示 (showing) + 寸 (inch) + 心 (heart)"
厌,"dislike","厂 (cliff) + 犬 (dog)"
脏,"internal organs","月 (moon) + 广 (dotted cliff) + 土 (earth)"
腾,"fly","月 (moon) + 丷 (eight) + 一 (one) + 大 (big) + 馬 (horse)"
幽,"quiet","幺 (short thread) + 山 (mountain)"
怨,"hatred","夕 (evening) + 㔾 + 心 (heart)"
鞋,"shoes","革 (leather) + 土 (earth)"
丢,"discard","丿 (slash) + 士 (scholar) + 厶 (private)"
埋,"bury","土 (earth) + 里 (village)"
泉,"spring","白 (white) + 水 (water)"
涌,"surge up","氵 (water) + 龴 + 用 (use)"
辖,"linchpin of wheel","车 (cart) + 宀 (roof) + 彡 (bristle) + 丨 (line) + 口 (mouth)"
躲,"hide","身 (body) + 几 (table) + 木 (tree)"
晋,"advance","亚 (Asia) + 日 (sun)"
紫,"purple","止 (stop) + 匕 (spoon) + 糸 (silk)"
艰,"difficult","又 (again) + 艮 (stopping)"
魏,"kingdom of Wei","禾 (grain) + 女 (woman) + 鬼 (ghost)"
吾,"i","五 (five) + 口 (mouth)"
慌,"nervous","忄 (heart) + 艹 (grass) + 亠 (lid) + 乚 (second) + 川 (river)"
祝,"pray for happiness or blessings","礻 (showing) + 口 (mouth) + 儿 (legs)"
邮,"postal","曰 (say) + 丨 (line) + 阝 (mound)"
吐,"vomit","口 (mouth) + 土 (earth)"
狠,"vicious","犭 (dog) + 艮 (stopping)"
鉴,"mirror","金 (gold)"
曰,"say","曰 (say)"
械,"weapons","木 (tree) + 廾 (two hands) + 戈 (halberd)"
咬,"bite","口 (mouth) + 亠 (lid) + 父 (father)"
邻,"neighbor","人 (man) + 一 (one) + 龴 + 阝 (mound)"
赤,"red","赤 (red)"
挤,"crowd","扌 (hand) + 齐 (even)"
弯,"bend","亦 (also) + 弓 (bow)"
椅,"chair","木 (tree) + 大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
陪,"accompany","阝 (mound) + 立 (stand) + 口 (mouth)"
割,"cut","宀 (roof) + 彡 (bristle) + 丨 (line) + 口 (mouth) + 刂 (knife)"
揭,"raise","扌 (hand) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
韦,"tanned leather","韦 (tanned leather)"
悟,"to apprehend","忄 (heart) + 五 (five) + 口 (mouth)"
聪,"intelligent","耳 (ear) + 心 (heart)"
雾,"fog","雨 (rain) + 夂 (go) + 力 (power)"
锋,"point of spear","钅 + 夂 (go) + 丰 (abundant)"
梯,"ladder","木 (tree) + 丷 (eight) + 弓 (bow) + 丨 (line) + 丿 (slash)"
猫,"cat","犭 (dog) + 艹 (grass) + 田 (field)"
祥,"good luck","礻 (showing) + 羊 (sheep)"
阔,"broad","门 (gate) + 氵 (water) + 舌 (tongue)"
誉,"fame","兴 (thrive) + 言 (speech)"
筹,"chip","竹 (bamboo) + 丰 (abundant) + 寸 (inch)"
丛,"bush","人 (man) + 一 (one)"
牵,"drag","大 (big) + 牛 (cow)"
鸣,"cry of bird or animal","口 (mouth) + 鸟 (bird)"
沈,"sink","氵 (water) + 冖 (over) + 儿 (legs)"
阁,"chamber","门 (gate) + 夂 (go) + 口 (mouth)"
穆,"majestic","禾 (grain) + 白 (white) + 小 (small) + 彡 (bristle)"
屈,"bend","尸 (corpse) + 屮 (sprout) + 凵 (open box)"
旨,"purpose","匕 (spoon) + 日 (sun)"
袖,"sleeve","衤 (clothes) + 曰 (say) + 丨 (line)"
猎,"hunt","犭 (dog) + 日 (sun)"
臂,"arm","辛 (bitter) + 月 (moon)"
蛇,"snake","虫 (insect) + 宀 (roof) + 匕 (spoon)"
贺,"congratulate","力 (power) + 口 (mouth) + 贝 (shell)"
柱,"pillar","木 (tree) + 丶 (dot) + 王 (king)"
抛,"throw (away)","扌 (hand)"
鼠,"rat","鼠 (rat)"
瑟,"large stringed musical instrument","王 (king) + 心 (heart) + 丿 (slash)"
戈,"halberd","戈 (halberd)"
牢,"prison","宀 (roof) + 牛 (cow)"
逊,"humble","辶 (walk) + 子 (child) + 小 (small)"
迈,"take a big stride","辶 (walk) + 万 (ten thousand)"
欺,"cheat","其 (his) + 欠 (lack)"
吨,"metric ton","口 (mouth) + 屯 (village)"
琴,"Chinese lute or guitar","王 (king) + 人 (man) + 一 (one)"
衰,"decline","衣 (clothes) + 丑 (clown)"
瓶,"jug","丷 (eight) + 一 (one) + 廾 (two hands) + 瓦 (tile)"
恼,"angered","忄 (heart) + 亠 (lid) + 凵 (open box) + 乂"
燕,"swallow (bird)","廿 + 爿 (half tree trunk) + 匕 (spoon) + 口 (mouth) + 灬 (fire)"
仲,"middle brother","亻 (man) + 口 (mouth) + 丨 (line)"
诱,"persuade","讠 (speech) + 禾 (grain) + 乃 (then)"
狼,"wolf","犭 (dog) + 丶 (dot) + 艮 (stopping)"
池,"pool","氵 (water) + 乜 + 丨 (line)"
疼,"aches","疒 (sickness) + 夂 (go) + 冫 (ice)"
卢,"cottage","卜 (divination) + 尸 (corpse)"
仗,"rely upon","亻 (man) + 丈 (unit of length equal 3.3 meters)"
冠,"cap","冖 (over) + 一 (one) + 儿 (legs) + 寸 (inch)"
粒,"grain","米 (rice) + 立 (stand)"
遥,"far away","辶 (walk) + 爪 (claw) + 缶 (jar)"
吕,"surname","口 (mouth)"
玄,"deep","玄 (profound)"
尘,"dust","小 (small) + 土 (earth)"
冯,"surname","冫 (ice) + 马 (horse)"
抚,"pat","扌 (hand) + 无 (do not)"
浅,"shallow","氵 (water) + 戈 (halberd)"
敦,"esteem","亠 (lid) + 口 (mouth) + 子 (child) + 攵 (rap)"
纠,"investigate","纟 (silk) + 丨 (line)"
钻,"drill","钅 + 卜 (divination) + 口 (mouth)"
晶,"crystal","日 (sun)"
岂,"how? what?","山 (mountain) + 己 (oneself)"
峡,"gorge","山 (mountain) + 一 (one) + 大 (big) + 丷 (eight)"
苍,"blue","艹 (grass) + 人 (man) + 㔾"
喷,"spurt","口 (mouth) + 十 (ten) + 廾 (two hands) + 贝 (shell)"
耗,"consume","耒 (plow) + 毛 (fur)"
凌,"pure","冫 (ice) + 土 (earth) + 儿 (legs) + 夂 (go)"
敲,"strike","高 (tall) + 攴 (rap)"
菌,"mushroom","艹 (grass) + 囗 (enclosure) + 禾 (grain)"
赔,"indemnify","贝 (shell) + 立 (stand) + 口 (mouth)"
涂,"surname","氵 (water) + 人 (man) + 一 (one) + 朩"
粹,"pure","米 (rice) + 亠 (lid) + 人 (man) + 十 (ten)"
扁,"flat","一 (one) + 尸 (corpse)"
亏,"lose","一 (one) + 丂"
寂,"still","宀 (roof) + 上 (top) + 小 (small) + 又 (again)"
煤,"coal","火 (fire) + 甘 (sweet) + 木 (tree)"
熊,"a bear","厶 (private) + 月 (moon) + 比 (compare) + 灬 (fire)"
恭,"respectful","廿 + 廾 (two hands) + 心 (heart)"
湿,"wet","氵 (water) + 日 (sun) + 业 (profession)"
循,"obey","彳 (step) + 十 (ten) + 目 (eye)"
暖,"warm","日 (sun) + 爫 (claw) + 丿 (slash) + 一 (one) + 又 (again)"
糖,"sugar","米 (rice) + 广 (dotted cliff) + 肀 + 口 (mouth)"
赋,"tax","贝 (shell) + 一 (one) + 弋 (shoot) + 止 (stop)"
抑,"press down","扌 (hand) + 匚 (open box) + 卩 (seal)"
秩,"order","禾 (grain) + 丿 (slash) + 一 (one) + 大 (big)"
帽,"hat","巾 (turban) + 冂 (down box) + 二 (two) + 目 (eye)"
哀,"sad","衣 (clothes) + 口 (mouth)"
宿,"stop","宀 (roof) + 亻 (man) + 一 (one) + 白 (white)"
踏,"step on","足 (foot) + 水 (water) + 日 (sun)"
烂,"rotten","火 (fire) + 丷 (eight) + 二 (two) + 一 (one)"
袁,"robe","土 (earth) + 口 (mouth) + 氏 (clan)"
侯,"marquis","亻 (man) + 矢 (arrow)"
抖,"tremble","扌 (hand) + 斗 (dipper)"
夹,"be wedged or inserted between","一 (one) + 大 (big) + 丷 (eight)"
昆,"elder brother","日 (sun) + 比 (compare)"
肝,"liver","月 (moon) + 干 (dry)"
擦,"wipe","扌 (hand) + 宀 (roof) + 月 (moon) + 又 (again) + 示 (showing)"
猪,"pig","犭 (dog) + 土 (earth) + 丿 (slash) + 日 (sun)"
炼,"smelt","火 (fire) + 柬"
恒,"constant","忄 (heart) + 二 (two) + 日 (sun)"
慎,"act with care","忄 (heart) + 十 (ten) + 貝 (shell) + 一 (one)"
搬,"transfer","扌 (hand) + 舟 (boat) + 殳 (weapon)"
纽,"knot","纟 (silk) + 丑 (clown)"
纹,"line","纟 (silk) + 文 (script)"
玻,"glass","王 (king) + 皮 (skin)"
渔,"to fish","氵 (water) + 鱼 (fish)"
磁,"magnetic","石 (stone) + 䒑 + 幺 (short thread)"
铜,"copper","钅 + 冂 (down box) + 一 (one) + 口 (mouth)"
齿,"teeth","齿 (tooth)"
跨,"straddle","足 (foot) + 大 (big) + 一 (one) + 丂"
押,"mortgage","扌 (hand) + 曰 (say) + 丨 (line)"
怖,"terror","忄 (heart) + 丿 (slash) + 一 (one) + 巾 (turban)"
漠,"desert","氵 (water) + 艹 (grass) + 日 (sun) + 大 (big)"
疲,"feel tired","疒 (sickness) + 皮 (skin)"
叛,"rebel","半 (half) + 又 (again)"
遣,"send","辶 (walk) + 口 (mouth) + 丨 (line) + 一 (one) + 㠯"
兹,"now","䒑 + 幺 (short thread)"
祭,"sacrifice to","月 (moon) + 又 (again) + 示 (showing)"
醉,"intoxicated","酉 (alcohol) + 亠 (lid) + 人 (man) + 十 (ten)"
拳,"fist","龹 + 手 (hand)"
弥,"extensive","弓 (bow) + 小 (small)"
斜,"slanting","人 (man) + 一 (one) + 朩 + 斗 (dipper)"
档,"shelf","木 (tree) + 小 (small) + 彐 (pigs head)"
稀,"rare","禾 (grain) + 乂 + 丿 (slash) + 一 (one) + 巾 (turban)"
捷,"win","扌 (hand) + 肀 + 疋 (bolt of cloth)"
肤,"skin","月 (moon) + 一 (one) + 大 (big)"
疫,"epidemic","疒 (sickness) + 殳 (weapon)"
肿,"swell","月 (moon) + 口 (mouth) + 丨 (line)"
豆,"beans","豆 (bean)"
削,"scrape off","小 (small) + 月 (moon) + 刂 (knife)"
岗,"post","山 (mountain) + 冂 (down box) + 乂"
晃,"bright","日 (sun) + 一 (one) + 儿 (legs)"
吞,"swallow","一 (one) + 大 (big) + 口 (mouth)"
宏,"wide","宀 (roof) + 丿 (slash) + 一 (one) + 厶 (private)"
癌,"cancer","疒 (sickness) + 口 (mouth) + 山 (mountain)"
肚,"belly","月 (moon) + 土 (earth)"
隶,"subservient","隶 (slave)"
履,"footwear","尸 (corpse) + 彳 (step) + 丿 (slash) + 一 (one)"
涨,"rise in price","氵 (water) + 弓 (bow) + 长 (long)"
耀,"shine","一 (one) + 儿 (legs) + 羽 (feather) + 隹 (short tailed bird)"
扭,"turn","扌 (hand) + 丑 (clown)"
坛,"altar","土 (earth) + 二 (two) + 厶 (private)"
拨,"move","扌 (hand) + 发 (issue)"
沃,"water","氵 (water) + 丿 (slash) + 大 (big)"
绘,"draw","纟 (silk) + 人 (man) + 一 (one) + 厶 (private)"
伐,"cut down","亻 (man) + 戈 (halberd)"
堪,"adequately capable of","土 (earth) + 甘 (sweet) + 匚 (open box) + 儿 (legs)"
仆,"fall forward","亻 (man) + 卜 (divination)"
郭,"outer part (of a city)","亠 (lid) + 口 (mouth) + 子 (child) + 阝 (mound)"
牺,"sacrifice","牜 (cow) + 一 (one) + 儿 (legs) + 口 (mouth)"
歼,"annihilate","歹 (death) + 丿 (slash) + 十 (ten)"
墓,"grave","艹 (grass) + 日 (sun) + 大 (big) + 土 (earth)"
雇,"employ","一 (one) + 尸 (corpse) + 隹 (short tailed bird)"
廉,"upright","广 (dotted cliff) + 兼 (unite)"
契,"deed","丰 (abundant) + 刀 (knife) + 大 (big)"
拼,"join together","扌 (hand) + 丷 (eight) + 一 (one) + 廾 (two hands)"
惩,"punish","彳 (step) + 一 (one) + 止 (stop) + 心 (heart)"
捉,"grasp","扌 (hand) + 足 (foot)"
覆,"cover","覀 (west) + 彳 (step) + 丿 (slash) + 一 (one)"
刷,"brush","尸 (corpse) + 巾 (turban) + 刂 (knife)"
劫,"take by force","土 (earth) + 厶 (private) + 力 (power)"
嫌,"hate","女 (woman) + 兼 (unite)"
瓜,"melon","瓜 (melon)"
歇,"rest","曰 (say) + 勹 (wrap) + 𠃊 + 人 (man) + 欠 (lack)"
雕,"engrave","冂 (down box) + 士 (scholar) + 口 (mouth) + 隹 (short tailed bird)"
闷,"gloomy","门 (gate) + 心 (heart)"
乳,"breast","爫 (claw) + 子 (child) + 乚 (second)"
串,"string","口 (mouth) + 丨 (line)"
娃,"baby","女 (woman) + 土 (earth)"
缴,"deliver","纟 (silk) + 白 (white) + 方 (square) + 攵 (rap)"
唤,"call","口 (mouth) + 冂 (down box) + 大 (big)"
赢,"win","亠 (lid) + 乚 (second) + 口 (mouth) + 月 (moon) + 几 (table) + 丶 (dot) + 贝 (shell)"
莲,"lotus","艹 (grass) + 辶 (walk) + 车 (cart)"
霸,"rule by might rather than right","雨 (rain)"
桃,"peach","木 (tree) + 兆 (omen)"
妥,"satisfactory","爫 (claw) + 女 (woman)"
瘦,"thin","疒 (sickness) + 臼 (mortar) + 丨 (line) + 又 (again)"
搭,"join together","扌 (hand) + 艹 (grass) + 人 (man) + 一 (one) + 口 (mouth)"
赴,"go to","走 (run) + 卜 (divination)"
岳,"mountain peak","丘 (hill) + 山 (mountain)"
嘉,"excellent","十 (ten) + 豆 (bean) + 力 (power) + 口 (mouth)"
舱,"hold of ship","舟 (boat) + 人 (man) + 㔾"
俊,"talented","亻 (man) + 厶 (private) + 儿 (legs) + 夂 (go)"
址,"site","土 (earth) + 止 (stop)"
庞,"disorderly","广 (dotted cliff) + 龙 (dragon)"
耕,"plow","耒 (plow) + 井 (well)"
锐,"sharp","钅 + 八 (eight) + 口 (mouth) + 儿 (legs)"
缝,"sew","纟 (silk) + 辶 (walk) + 夂 (go) + 丰 (abundant)"
悔,"repent","忄 (heart) + 丿 (slash) + 一 (one) + 母 (mother)"
邀,"invite","辶 (walk) + 白 (white) + 方 (square) + 攵 (rap)"
玲,"tinkling of jade","王 (king) + 人 (man) + 一 (one) + 龴"
惟,"but","忄 (heart) + 隹 (short tailed bird)"
斥,"to scold","斤 (axe) + 丶 (dot)"
宅,"residence","宀 (roof) + 丿 (slash) + 七 (seven)"
添,"append","氵 (water) + 丿 (slash) + 大 (big) + 心 (heart)"
挖,"dig","扌 (hand) + 穴 (cave) + 乙 (second)"
呵,"scold","口 (mouth) + 一 (one) + 亅 (hook)"
讼,"accuse","讠 (speech) + 八 (eight) + 厶 (private)"
氧,"oxygen","气 (breath) + 羊 (sheep)"
浩,"great","氵 (water) + 牛 (cow) + 口 (mouth)"
羽,"feather","羽 (feather)"
斤,"a catty (approximately 500 g)","斤 (axe)"
酷,"strong","酉 (alcohol) + 牛 (cow) + 口 (mouth)"
掠,"rob","扌 (hand) + 亠 (lid) + 口 (mouth) + 小 (small)"
妖,"strange","女 (woman) + 丿 (slash) + 大 (big)"
祸,"misfortune","礻 (showing) + 口 (mouth) + 冂 (down box) + 人 (man)"
侍,"serve","亻 (man) + 土 (earth) + 寸 (inch)"
乙,"second","乙 (second)"
妨,"interfere with","女 (woman) + 方 (square)"
贪,"be greedy","人 (man) + 一 (one) + 贝 (shell)"
挣,"strive","扌 (hand) + 𠂊 + 肀"
汪,"vast","氵 (water) + 王 (king)"
尿,"urine","尸 (corpse) + 水 (water)"
莉,"white jasmine","艹 (grass) + 禾 (grain) + 刂 (knife)"
悬,"hang","且 (moreover) + 厶 (private) + 心 (heart)"
唇,"lips","辰 (morning) + 口 (mouth)"
翰,"writing brush","卓 (profound) + 人 (man) + 羽 (feather)"
仓,"granary","人 (man) + 㔾"
轨,"track","车 (cart) + 九 (nine)"
枚,"stalk of shrub","木 (tree) + 攵 (rap)"
盐,"salt","土 (earth) + 卜 (divination) + 皿 (dish)"
览,"look at","见 (see)"
傅,"tutor","亻 (man) + 甫 (begin) + 寸 (inch)"
帅,"commander","刂 (knife) + 巾 (turban)"
庙,"temple","广 (dotted cliff) + 曰 (say) + 丨 (line)"
芬,"fragrance","艹 (grass) + 八 (eight) + 刀 (knife)"
屏,"folding screen","尸 (corpse) + 丷 (eight) + 一 (one) + 廾 (two hands)"
寺,"court","土 (earth) + 寸 (inch)"
胖,"fat","月 (moon) + 半 (half)"
璃,"glass","王 (king) + 亠 (lid) + 凵 (open box) + 乂 + 禸 (track)"
愚,"stupid","田 (field) + 禸 (track) + 心 (heart)"
滴,"drip","氵 (water) + 亠 (lid) + 八 (eight) + 冂 (down box) + 十 (ten) + 口 (mouth)"
疏,"neglect","疋 (bolt of cloth) + 亠 (lid) + 厶 (private) + 川 (river)"
萧,"common artemisia","艹 (grass) + 肀 + 儿 (legs) + 丷 (eight)"
姿,"ones manner","冫 (ice) + 欠 (lack) + 女 (woman)"
颤,"shiver","亠 (lid) + 囗 (enclosure) + 口 (mouth) + 日 (sun) + 一 (one) + 页 (leaf)"
丑,"clown","丑 (clown)"
劣,"bad","小 (small) + 丿 (slash) + 力 (power)"
柯,"axe-handle","木 (tree) + 口 (mouth) + 一 (one) + 亅 (hook)"
寸,"inch","寸 (inch)"
扔,"throw","扌 (hand) + 乃 (then)"
盯,"rivet gaze upon","目 (eye) + 一 (one) + 亅 (hook)"
辱,"humiliate","辰 (morning) + 寸 (inch)"
匹,"bolt of cloth","匚 (open box) + 儿 (legs)"
俱,"all","亻 (man) + 貝 (shell) + 一 (one)"
辨,"distinguish","辛 (bitter) + 刂 (knife)"
饿,"hungry","饣 (eat) + 丿 (slash) + 十 (ten) + 戈 (halberd)"
蜂,"bee","虫 (insect) + 夂 (go) + 丰 (abundant)"
哦,"oh? really? is that so?","口 (mouth) + 丿 (slash) + 十 (ten) + 戈 (halberd)"
腔,"chest cavity","月 (moon) + 穴 (cave) + 工 (work)"
郁,"sweet smelling","丿 (slash) + 一 (one) + 月 (moon) + 阝 (mound)"
溃,"flooding river","氵 (water) + 口 (mouth) + 丨 (line) + 一 (one) + 贝 (shell)"
谨,"prudent","讠 (speech) + 堇"
糟,"sediment","米 (rice) + 一 (one) + 曲 (crooked) + 曰 (say)"
葛,"edible bean","艹 (grass) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
苗,"sprouts","艹 (grass) + 田 (field)"
肠,"intestines","月 (moon)"
忌,"jealous","己 (oneself) + 心 (heart)"
溜,"slide","氵 (water) + 𠂎 + 卩 (seal) + 田 (field)"
鸿,"species of wild swan","氵 (water) + 工 (work) + 鸟 (bird)"
爵,"feudal title or rank","爫 (claw) + 罒 (net) + 寸 (inch)"
鹏,"fabulous bird of enormous size","月 (moon) + 鸟 (bird)"
鹰,"falcon","广 (dotted cliff) + 亻 (man) + 隹 (short tailed bird) + 鸟 (bird)"
笼,"cage","竹 (bamboo) + 龙 (dragon)"
丘,"hill","丘 (hill)"
桂,"cassia or cinnamon","木 (tree) + 土 (earth)"
滋,"grow","氵 (water) + 䒑 + 幺 (short thread)"
聊,"somewhat","耳 (ear) + 𠂎 + 卩 (seal)"
挡,"obstruct","扌 (hand) + 小 (small) + 彐 (pigs head)"
纲,"heavy rope","纟 (silk) + 冂 (down box) + 乂"
肌,"muscle tissue","月 (moon) + 几 (table)"
茨,"thatching","艹 (grass) + 冫 (ice) + 欠 (lack)"
壳,"casing","士 (scholar) + 几 (table)"
痕,"scar","疒 (sickness) + 艮 (stopping)"
碗,"bowl","石 (stone) + 宀 (roof) + 夕 (evening) + 㔾"
穴,"cave","穴 (cave)"
膀,"upper arm","月 (moon) + 亠 (lid) + 八 (eight) + 方 (square)"
卓,"profound","卜 (divination) + 日 (sun) + 十 (ten)"
贤,"virtuous","丨 (line) + 又 (again) + 贝 (shell)"
卧,"lie down","臣 (minister) + 卜 (divination)"
膜,"membrane","月 (moon) + 艹 (grass) + 日 (sun) + 大 (big)"
