Kanji,Meaning,Radicals
渉,Ford,Tsunami + Walk
薬,"Medicine, Drug",Flowers + Comfort
虚,Void,Tiger + Spikes
察,Guess,Roof + Festival
干,"Dry, Dry Out",Dry
是,Absolutely,Sun + Correct
愛,Love,Cleat + Forehead + Heart + Winter
鼻,Nose,Self + Rice Paddy + Twenty
細,Thin,Thread + Rice Paddy
等,Equal,Bamboo + Temple
借,Borrow,Leader + Long Ago
験,Test,Horse + Squid
静,Quiet,Blue + Conflict
喫,Consume,Mouth + Master + Sword + Big
汽,Steam,Tsunami + Energy
焼,"Bake, Cook, Burn",Fire + Gambler
僧,"Priest, Monk",Leader + Mask
忘,Forget,Death + Heart
告,Announce,Slide + Dirt + Mouth
禁,Prohibition,Tree + Jackhammer
類,"Type, Category, Kind",Rice + Big + Geoduck
種,"Kind, Type",Grain + Heavy
訓,Instruction,Say + River
禅,"Zen, Zen Buddhism",Spirit + Simple
達,"Attain, Plural",Treadmill + Happiness
試,"Try, Attempt",Say + Construction + Ceremony
許,"Permit, Allow",Say + Noon
弓,Bow,Bow
句,"Paragraph, Phrase",Paragraph
座,"Sit, Seat",Mullet + Person + Dirt
胸,"Chest, Breast",Moon + Prison + Treasure Chest
祈,"Pray, Prayer",Spirit + Axe
脳,Brain,Moon + Grass + Treasure Chest
枚,Flat Objects Counter,Tree + Winter
煙,Smoke,Fire + Helicopter + Dirt
報,"News, Report",Happiness + Stamp + Stool
洗,Wash,Tsunami + Previous
可,Possible,Lip Ring
宙,Mid Air,Roof + Reason
笛,Flute,Bamboo + Reason
続,Continue,Thread + Sell
財,Wealth,Shellfish + Genius
布,Cloth,Narwhal + Towel
宇,Outer Space,Roof + Dry
暴,Violence,Sun + Together + Water
得,Acquire,Loiter + Sun + Temple
史,History,History
詞,Part Of Speech,Say + Director
歴,Continuation,Cliff + Tree + Stop
善,Morally Good,Sheep + Horns + Ground + Mouth
冊,Books Counter,Bookshelf
閥,"Clique, Clan",Gate + Leader + Drunkard
順,"Order, Sequence",River + Geoduck
団,Group,Mouth + Measurement
絡,"Entangle, Coil Around, Entwine",Thread + Kiss
容,"Form, Appearance, Shape, Figure",Roof + Valley
乱,Riot,Tongue + Umbrella
節,Season,Bamboo + Root + Stamp
昆,Descendants,Sun + Compare
困,"Distressed, Troubled",Mouth + Tree
若,Young,Flowers + Narwhal + Mouth
連,Take Along,Treadmill + Car
忙,Busy,Soul + Death
加,Add,Power + Mouth
履,Boots,Flag + Loiter + Black Hole
易,Easy,Easy
減,Decrease,Tsunami + Feeling
舌,Tongue,Tongue
改,Renew,Oneself + Winter
徒,"Junior, Follower",Loiter + Run
比,Compare,Compare
混,Mix,Tsunami + Sun + Compare
罪,Guilt,Net + Criminal
難,Difficult,Chinese + Turkey
機,Machine,Tree + Trash + Drunkard + Person
確,Certain,Stone + Forehead + Turkey
圧,Pressure,Cliff + Dirt
妻,Wife,Ground + Brush + Woman
震,Earthquake,Rain + Landslide
災,Disaster,Flood + Fire
夢,Dream,Flowers + Net + Forehead + Evening
率,Percent,Lid + Explosion + Trash + Cross
嫌,Dislike,Woman + Mona Lisa
産,"Give Birth, Birth",Stand + Cliff + Life
尾,Tail,Flag + Fur
議,Deliberation,Say + Righteousness
臭,"Stinking, Stinky, Smelly",Self + Big
尻,Butt,Flag + Nine
余,"Surplus, Excess",Hat + Jackhammer
厚,Thick,Cliff + Sun + Child
穴,"Hole, Cave",Hole
妨,"Obstruct, Impede",Woman + Direction
経,"Passage Of Time, Pass Through, Manage",Thread + Tombstone
裕,"Abundant, Plentiful",Spirit + Valley
械,Contraption,Tree + Drunkard + Twenty
犯,Crime,Animal + Snake
被,Incur,Spirit + Skin
個,Individual,Leader + Mouth + Old
害,"Damage, Injury, Harm",Roof + Life + Mouth
倒,"Overthrow, Collapse",Leader + Mole + Knife
論,Theory,Say + Roof + Bookshelf
防,"Prevent, Prevention",Building + Direction
在,Exist,Narwhal + Stick + Dirt
飛,Fly,★
制,Control,Life + Towel + Knife
断,Cut Off,Lion + Rice + Axe
企,Plan,Hat + Stop
資,Resources,Next + Shellfish
税,Tax,Grain + Guard
任,Duty,Leader + King
解,"Untie, Solve",Angle + Sword + Cow
義,Righteousness,Righteousness
審,Judge,Roof + Number
委,Committee,Woman + Grain
済,Come To An End,Tsunami + Simultaneous
認,Recognize,Say + Sword + Drop + Heart
岡,Hill,Head + Horns + Ground + Mountain
総,Whole,Thread + Public + Heart
務,Task,Spear + Winter + Power
検,Examine,Tree + Squid
批,Criticism,Fingers + Compare
評,Evaluate,Say + Peace
設,Establish,Say + Weapon
敵,Enemy,Mohawk + Winter
素,Element,Life + Thread
挙,Raise,Grass + Ground + Fins + Hand
派,Sect,Tsunami + Cliff + Tofu
際,Occasion,Building + Festival
責,Blame,Life + Shellfish
条,Clause,Winter + Tree
査,"Inspect, Investigate",Tree + Top Hat
権,Rights,Tree + Arrow + Turkey
増,Increase,Dirt + Mask
省,Conserve,Few + Eye
件,Matter,Leader + Cow
判,Judge,Knife + Half
罰,"Penalty, Punishment",Net + Say + Knife
坊,Monk,Dirt + Direction
援,"Aid, Assist",Fingers + Football
費,"Expense, Cost",Dollar + Shellfish
過,Surpass,Treadmill + Mustache
示,"Indicate, Show",Jackhammer
勢,Force,Womb + Circle + Power
置,Put,Net + Fix
応,Respond,Mullet + Heart
策,Plan,Bamboo + Tree + Head
賀,Congratulations,Power + Mouth + Shellfish
態,Appearance,Ability + Heart
副,"Vice, Side",Scarecrow + Knife
値,Value,Leader + Fix
案,Plan,Cheap + Tree
吸,"Suck, Inhale",Mouth + Escalator
藤,Wisteria,Flowers + Moon + Horns + Train + Water
営,Manage,Viking + Bathtub
観,View,Arrow + Turkey + See
領,Territory,Orders + Geoduck
寝,"Lie Down, Lay Down, Sleep",Roof + Fingers + Wolverine + Forehead + Stool
姿,"Figure, Shape, Form",Next + Woman
各,Each,Kiss
誕,Birth,Say + Yoga + Correct
脱,Undress,Moon + Guard
提,"Present, Submit",Fingers + Sun + Correct
宮,"Shinto Shrine, Shrine, Palace",Roof + Bathtub
統,Unite,Thread + Allocate
状,Condition,Fingers + Dog
域,"Region, Regional Boundary, Boundary",Dirt + Mouth + Ground + Drunkard
価,Value,Leader + Helicopter
律,Law,Loiter + Brush
現,Present Time,King + See
収,Obtain,Vines + Stool
幹,Tree Trunk,Cross + Sun + Hat + Dry
呼,Call,Mouth + Peace
宅,"House, Home",Roof + Slide + Seven
張,Stretch,Bow + Long
秀,Excel,Grain + Stairs
革,Leather,Leather
施,Carry Out,Direction + Gun + Alligator
乳,Milk,Cleat + Child + Umbrella
割,Divide,Roof + Master + Mouth + Knife
鬼,Demon,Demon
師,"Teacher, Expert, Master",Drop + Bear + Ground + Towel
崎,Cape,Mountain + Big + Lip Ring
俳,Haiku,Leader + Criminal
演,Perform,Tsunami + Roof +Leaf + Rice Paddy + Fins
優,"Superior, Gentle",Leader + Hundred + Forehead + Heart + Winter
準,Standard,Tsunami + Turkey + Cross
城,Castle,Dirt + Become
贅,Luxury,Dirt + Direction + Winter + Shellfish
備,"Provide, Equip",Leader + Flowers + Cliff + Task
則,Rule,Shellfish + Knife
停,Halt,Leader + restaurant
看,Watch Over,Hand + Eye
護,Defend,Say + Flowers + Turkey + Stool
導,Lead,Road + Measurement
裁,Judge,Cross + Clothes + Drunkard
職,Employment,Ear + Sound + Drunkard
沢,Swamp,Tsunami + Shrimp
規,Standard,Husband + See
管,Pipe,Bamboo + Roof + Bear
述,Mention,Treadmill + Angel + Drop
武,Military,Ground + Stop + Ceremony
境,Boundary,Dirt + Stand + See
質,Quality,Axe + Shellfish
環,Loop,King + Net + Ground + Zombie
祝,Celebrate,Spirit + Older Brother
販,Sell,Shellfish + Anti
触,Touch,Angle + Insect
狭,Narrow,Animal + Husband + Horns
輸,Transport,Car + Death Star
展,Expand,Flag + Blackjack + Kick
差,Distinction,Sheep + Slide + Construction
庁,"Agency, Government Office",Mullet + Street
